Street_Name,Nodes
CHALLEDON ROAD,"[{1444922512, 49469281}]"
IDLEWILDE AVENUE,"[{37722885, 37722886, 37698670, 37644369, 37805817}]"
BAMBOROUGH COURT,"[{37587843, 37587844}]"
FRANKLIN SQUARE DRIVE,"[{37777793, 37692812, 37281940, 37730711, 37777688, 37478817, 5136746017, 1015174180, 1015174187, 37777708, 37777720, 37777724, 37586624, 37370177, 37777607, 37777608, 5136748745, 3586762968, 6009436890, 6009436891, 1196298205, 37735774, 37737442, 5136773475, 5136773474, 37777766, 5136773480, 5136773481, 37739371, 1015168623, 37478905}]"
JOLEON ROAD,"[{37798105, 37798122, 37798135, 37598423}]"
STOCKSDALE ROAD,"[{37630421, 37630487}]"
WALDEN COURT,"[{9708970941, 37631494, 9708970943}]"
SOUTH STUART STREET,"[{37696993, 37919049, 37621838, 37612558, 37612559, 37612561, 37764025}]"
SPARROWS POINT BOULEVARD,"[{37620993, 37441412, 37580679, 37664416, 37664418, 5249666723, 5249666724, 37243047, 37614251, 10090479284, 37566039, 6051950809, 37099227, 37491042, 37471715, 9277929962, 9277929963, 37749364, 37632245, 37777270, 37491070}]"
AMYS WAY COURT,"[{37851920, 37851936}]"
BELOAK COURT,"[{37690411, 37690405}]"
PENTWOOD ROAD,"[{49496386, 49474435, 49491013, 49496295, 49537388, 49490734}]"
CEDARCONE COURT,"[{3106352844, 37666100}]"
WEST RIDGELY ROAD,"[{37796456, 37725742, 37610086}]"
UHLER AVENUE,"[{49525768, 49547887}]"
RED BIRD ROAD,"[{1157491598, 37729654}]"
TOMAHAWK TERRACE,"[{37670301, 37670302}]"
BUSH STREET,"[{37716704, 49493177, 37336135, 49463016, 49462796, 49523596, 49523599, 3744152243, 49424953, 1302904799, 37716700, 37602973, 49437854, 49479807}]"
AYLESHIRE ROAD,"[{49556785, 49556789, 49556767}]"
CHARLES WOODS COURT,"[{37645033, 37645034}]"
FORESTON ROAD,"[{37796706, 37843843, 37560547, 37843167, 37843436, 37684367, 37843796, 37587100, 37843615}]"
EBERHART AVENUE,"[{37569381, 37569359}]"
PERRYFALLS PLACE,"[{37875477, 37928143}]"
RED HAVEN ROAD,"[{37608434, 37608427, 37608445, 37608422}]"
NORTH HAZELWOOD AVENUE,"[{37677667, 37636395}]"
PARHAM CIRCLE,"[{37490217, 37567850, 37239827, 1338764524}]"
CAERLEON COURT,"[{1055497097, 1055497130, 1055497324, 1055497211, 1055497245, 1055497182}]"
FLAGSTAFF ROAD,"[{37882377, 37882386}]"
BURNING WELL ROAD,"[{37616524, 37682974}]"
WALTON WAY,"[{37698185, 37698183}]"
PURVIS PLACE,"[{37562686, 37562678, 37562679, 37562683, 37562684, 37625214}]"
WEST MAIN BOULEVARD,"[{37702961, 37744107, 9241051133}]"
LEEWAY,"[{2065472897, 37794882, 2065498180, 37826662, 37826664, 37623689, 37698731}]"
SAINT STEPHENS STREET,"[{49464741, 49464743}]"
FLOWER LANE,"[{37656843, 37691213}]"
GATEHOUSE DRIVE,"[{49415744, 49467969, 1444749953, 1330253603, 37405957, 49476261, 49415721, 49406122, 49390989, 1330389327, 37405971, 49476312, 1330389465, 49391003, 49406141}]"
HELM COURT,"[{37757546, 37757558}]"
COLONIAL COURT,"[{37600603, 37927659}]"
GLENEAGLE ROAD,"[{49527814, 49490663, 49491086, 49527855, 49498999, 49539281, 49465331, 49474550, 49542039, 49480829}]"
KENDERSHAM COURT,"[{1015174198, 1015174199}]"
MIRABILE LANE,"[{37926466, 37891399, 37908175, 1327153651, 37688244, 37835448, 37666012}]"
NORTHWAY ROAD,"[{37609285, 37609296, 37247890, 37609268, 37609247}]"
QUINCE LANE,"[{37364291, 37018259, 37471710}]"
NORTH WOLFE STREET,"[{49464576, 49458946, 49494791, 49496982, 49525673, 49482156, 49475117, 841488172, 49482746, 9214331203, 49540036, 49496142, 49540049, 49540052, 49491285, 49537880, 49491289, 49514332, 49483621, 49540076, 49538032, 49500657, 49501811, 49467252, 49540087, 49540090}]"
ARMACOST ROAD,"[{37307521, 37661763, 37624005, 37661773, 37451185, 37661778, 37661820, 37661727}]"
FOX HOLLOW LANE,"[{37594073, 393527795, 37594071}]"
STREAMWOOD DRIVE,"[{37688707, 37688644, 37436679, 37436682, 37688747, 37688652, 37688623, 37688752, 37688691, 37688596, 37688757, 37688725, 37688733}]"
VERO ROAD,"[{37295400, 37100570}]"
NORTH AUGUSTA AVENUE,"[{49544357, 49544360, 49468363, 49544363, 49544366, 49485775, 49529617, 49485942, 49463993, 49493599}]"
DANA VISTA ROAD,"[{37809625, 37720517}]"
NORWICH COURT,"[{985980217, 985980254}]"
WASHBURN AVENUE,"[{49539937, 49539013, 49522470, 49505798, 49520212, 49524278, 49539927, 49539934}]"
SOUTH CAREY STREET,"[{49459397, 49459431, 49456680, 49459400, 49459435, 49415053, 49459405, 49459439, 49459441, 49459442, 49459443, 49459444, 49459446, 49459418, 49459421}]"
BRINSMAID COURT,"[{1015174248, 1015174222, 1015174215}]"
STONEYFORD ROAD,"[{49508441, 49456009, 49495172, 5243585182}]"
BETH COURT,"[{37803898, 37921695}]"
WICKMAN COURT,"[{37882885, 37642023}]"
HALLIMONT ROAD,"[{37814937, 37579986}]"
IRIS AVENUE,"[{2281738033, 49547548, 49547550}]"
BURKSHIRE ROAD,"[{1709225600, 37723463}]"
BAY DOCK DRIVE,"[{4622463264, 4622463254, 4622463255}]"
FAIR OAKS AVENUE,"[{49497729, 49477320, 49541800, 49506634, 49457675, 3940948427, 49520687, 1102918833, 49541810, 1102918834, 49541814}]"
ECHO COURT SOUTH,"[{37645813, 37645815}]"
EDGECLIFT ROAD,"[{37686037, 37613037}]"
NECKER AVENUE,"[{37618018, 37730886, 37730888, 2393149486, 37602767, 37627132}]"
LAFAYETTE AVENUE,"[{37562657, 37548615, 37373160, 37762795, 37373164, 37772593, 37807090, 37373170, 37623059, 37716114, 37295382, 37772599}]"
BOWMAN DRIVE,"[{49418307, 49418284, 1808834407}]"
JONES AVENUE,"[{37743606, 37743607}]"
ESSEX AVENUE,"[{37880457, 37852329, 37758378, 37880366, 37493523, 37659381, 37880438, 37880440, 37758491, 37758748, 37596317, 37593887}]"
MCKEAN AVENUE,"[{49461216, 49461188, 49461197, 49458641, 49461203, 49461214, 49461174, 49461207, 49461209, 49461211, 49461212, 49461182}]"
KEMBLE ROAD,"[{49522011, 49533980}]"
MEADOW MIST COURT,"[{37733293, 37733295}]"
MALVERN AVENUE,"[{1539009027, 37702790, 37341894, 37753738, 49466283, 1539009006, 49443582, 37753745, 49479987, 37607733, 1539009013, 49479990, 49478489, 1539009020, 37753726}]"
GEIPE ROAD,"[{1732519467, 37382107, 37647366}]"
CRESCENT STREET,"[{1444921912, 49505637}]"
SHADY RIDGE COURT,"[{37711384, 37342549}]"
NORTH MORERICK AVENUE,"[{37852435, 37769932}]"
CROSSLAND AVENUE,"[{49489220, 49489224, 49489226, 49489230, 49489234, 7828192916, 7828192917, 7828192918, 49489207, 49489240, 49468828, 49468829}]"
CLIVEDEN ROAD,"[{37703842, 37703877, 37664050, 5264326232, 37703866, 37703835}]"
COPPERWOOD LANE,"[{37626636, 37592341}]"
FARNSWORTH PLACE,"[{37018924, 37018925}]"
GREENS LANE,"[{37568865, 37563302, 2518538119, 5864904486, 37568873, 37568875, 37568876, 37568881, 2095760466, 2518538131, 37568884, 37568853, 2518538134, 37568894}]"
HILTON ROAD,"[{49502337, 49500261, 49526278, 49477638, 49486409, 49493036, 49378260, 49493018, 49509501}]"
WHITE PINE ROAD,"[{966422747, 37870796, 37615101, 37289430}]"
BLOOMINGDALE ROAD,"[{49542152, 49500045, 49508623, 49489683, 49506707, 49535901, 49511329, 49461685, 892660474, 49533371, 49536321, 49525584, 49523795, 1399397739, 1399397741, 49493360, 49542133, 49529337, 49542138, 49542142}]"
TREPID ROAD,"[{37755683, 37596675, 37755687}]"
WINANS AVENUE,"[{37592161, 37703972, 37467158, 37703991}]"
PACEBROOK COURT,"[{37894193, 37872660}]"
CEDARCROFT ROAD,"[{1401782533, 49474950, 49490696, 1357129482, 49424779, 49462413, 49499661, 49504273, 49504275, 49504280, 1401782428, 49481888, 7385313953, 49504299, 49501878, 49480893, 49504198, 49504216, 49504219, 49504220, 49504221, 49504222, 49504223, 49504225, 49504228, 49499007}]"
GARRISON VIEW ROAD,"[{8999308866, 8999308851, 8999308852, 8999308853, 37598742, 37598810, 37598747, 37598812, 37598813}]"
11TH STREET,"[{37771388, 1433174997, 37627910}]"
TALLULAH AVENUE,"[{37722604, 37603693}]"
FRANKLINVILLE ROAD,"[{37673094, 37673070, 393529455, 37617529, 37673087}]"
UPDALE COURT,"[{37612521, 37875417, 2149653447}]"
EDEN TERRACE LANE,"[{2674887639, 37833767}]"
FRANKFORD AVENUE,"[{49477377, 49574025, 49524233, 49507211, 49555596, 49580816, 49537040, 49537042, 49541271, 3434600217, 926705823, 8430819360, 49491488, 49497891, 49513635, 49556899, 49398823, 49491239, 49423914, 49459370, 49580844, 49559217, 49562803, 49574071, 49493051, 49543996, 1104181181, 49458111, 49407297, 49571778, 926705863, 49557452, 49481939, 49520084, 49535066, 1401750234, 49541085, 49496670, 1401750239, 49564127, 2030189535, 49463138, 49534560, 49531366, 2030189545, 49555441, 49456380, 49547261}]"
DIAMOND RIDGE ROAD,"[{37451112, 1404153747, 1404153748, 37451125}]"
STOKESLEY ROAD,"[{37648737, 37648738, 37648735}]"
WEST 35TH STREET,"[{49461587, 49472326}]"
NAVARRO AVENUE,"[{49488819, 49491981}]"
DAWN DRIVE,"[{37801880, 37801897, 37753275, 37801911}]"
WEST MULBERRY STREET,"[{49519751, 49519754, 49448080, 49506449, 49519761, 49519762, 49519768, 49425693, 49507103, 49460897, 49519906, 49519907, 49519780, 49519784, 49419432, 49455791, 49466159, 49408689, 49519794, 49489203, 49519797, 49508533, 49519800, 49500987, 49519805, 49469248, 49519811, 49519814, 49423815, 49519819, 49499596, 49519824, 49448277, 49519833, 49519838, 49457503, 49519841, 49519849, 49482347, 49519861, 49519739, 49469054}]"
GLENVIEW TERRACE,"[{37904330, 37904332, 37841927}]"
STRAWBRIDGE COURT,"[{37775635, 37900419}]"
GREENWOOD ROAD,"[{37886497, 37705090, 37772417, 37703866, 37713416, 5264326233, 37784466, 37797331, 37729173, 37889014, 37572537, 37664026, 37705084}]"
LEATHERWOOD PLACE,"[{37478794, 1338737962, 1338737783, 1338737723, 37487229, 37487230, 37688223}]"
LOWELLS GLEN ROAD,"[{37303930, 37303958}]"
ASBURY AVENUE,"[{49523301, 37532006, 37593003, 49484078, 49526996, 49544735}]"
PICNIC COURT,"[{37825168, 37880354}]"
SAINT GEORGES ROAD,"[{49465062, 49417863, 49379879, 49465064, 49465066, 49524458, 2324760817, 49465119, 49465078, 49522397, 49460543}]"
ADRIAN AVENUE,"[{49486508, 49486509}]"
POSTAL LANE,"[{1009030321, 1009030323}]"
HALETHORPE FARMS ROAD,"[{37819416, 37613019, 37671774, 37900011}]"
GOODALE PLACE,"[{1357106120, 49485005}]"
HILLSHIRE ROAD,"[{1039661312, 37726117, 49475819, 49483568, 49462001, 37589365, 37726134}]"
HANDSWORTH PLACE,"[{37682579, 1273969413}]"
FORGE HAVEN DRIVE,"[{822123903, 383981192, 383981193, 822123883, 383981198, 383981202, 383981207, 383981210, 822123932, 383981277, 383981183}]"
NELWAY,"[{1639120129, 37478516, 37478519}]"
FINNEY AVENUE,"[{49469079, 49469076, 49469077, 49437167}]"
HILLCHASE COURT,"[{37559200, 37733954}]"
BETHLEHEM AVENUE,"[{49532938, 49513484, 49532941, 49532940, 37613007, 49531247, 37613009, 37613012, 37613014}]"
HOLLY CREST DRIVE,"[{1908575777, 1908575686}]"
SPRUCE STREET,"[{37818976, 37624225, 37733477, 49506860, 49534326, 37859703, 49534331}]"
DIAMOND CREST COURT,"[{37840864, 37790161, 37840849}]"
BRIGANTINE COURT,"[{37627394, 37889227}]"
BOSTON AVENUE,"[{37593630, 49531247, 37358743, 37458395, 49531230}]"
BLYTHEWOOD ROAD,"[{49522352, 49572313, 49572315, 49580550}]"
PECAN LANE,"[{1009030338, 1009030332}]"
CROSS FALLS WAY,"[{37743769, 37755822, 37736956, 37755798}]"
SELFRIDGE AVENUE,"[{49462649, 49414533}]"
HILLMAN STREET,"[{49561664, 49494763, 49501776, 49448279, 49561661}]"
PINEWOOD DRIVE,"[{37602433, 37602434, 37602437, 37602454}]"
ANITA ROAD,"[{37434960, 37288724, 37573303}]"
TYSON ROAD,"[{37593992, 9179030889}]"
PINELEA ROAD,"[{37630232, 37645369, 37645400}]"
CALYPSO COURT,"[{37913009, 37829794}]"
ISLINGTON STREET,"[{5096166931, 5096166932, 5096166925}]"
STOCKWELL ROAD,"[{37592834, 37606126, 37606150}]"
STATION ROAD,"[{37611867, 37611870, 37611871}]"
MERRYWOOD DRIVE,"[{37738856, 37905761, 37905720, 37905721}]"
MEADOW GLEN ROAD,"[{37395216, 37395235, 37395151}]"
MOSER LANE,"[{37581728, 37879021}]"
RUXTON RIDGE GARTH,"[{37696787, 37764559}]"
OAK LODGE ROAD,"[{37755039, 37618379, 37439295}]"
RONIS ROAD,"[{37604400, 37604396, 37604397}]"
BUNCHE ROAD,"[{49536146, 49470012, 49508180}]"
LENCREST ROAD,"[{37766769, 37766766}]"
FOREST GLEN ROAD,"[{49547460, 49484167, 49479819, 49467948, 49441901}]"
FRANKLIN VALLEY CIRCLE,"[{37739144, 37739142}]"
NOTRE DAME AVENUE,"[{37578694, 37578700, 37578701, 37578702, 37562302}]"
QUEENSGATE ROAD,"[{49449673, 49475698, 49478907, 49449692}]"
FITZGERALD COURT,"[{37896633, 37702181}]"
HONEYCOMB ROAD,"[{37618373, 37825838, 37825844, 37825821, 37825822}]"
CHANDELLE ROAD,"[{37619786, 37618363, 37619787, 37619782}]"
ELMORE AVENUE,"[{37664851, 37648939, 37664853}]"
KINGSLEY ROAD,"[{37561482, 3291707324, 37348438}]"
KINWAT AVENUE,"[{37806658, 37677348, 37806638}]"
TAXI WAY,"[{37657315, 37657332}]"
COPPERFIELD ROAD,"[{37678928, 37743529, 37567282, 37840407}]"
BLUECRAB COURT,"[{37631179, 37631173}]"
FAWN RIDGE COURT,"[{37824697, 37824679}]"
MIDSUMMER COURT,"[{1467294891, 1467294828}]"
EBERLE DRIVE,"[{49458345, 9777713394, 9777713395, 49458045}]"
FALLSTAFF ROAD,"[{49455380, 49455381, 5256537255, 5256537260, 49455409, 49378994, 49381560, 49455419, 49455294, 49455431, 49455434, 49455435, 49455443, 49455446, 49455320, 1399407838, 49455332, 49455347, 49455479}]"
MAPLE LANE,"[{37738852, 37690357}]"
RICHROY COURT,"[{624513091, 624513100}]"
KINGS GLEN COURT,"[{37541081, 3072116211}]"
UPLANDS PARKWAY,"[{49485976, 49536094, 49485806}]"
SAINT FABIAN LANE,"[{37583193, 37666972}]"
ROCKYWOOD LANE,"[{37829970, 37475475, 37442068, 37844238}]"
GASCONY LANE,"[{49379842, 49379878, 49379879}]"
MIDVALE AVENUE,"[{37796516, 37705318, 37746248, 37664875, 37796560, 37627057, 37796566}]"
FLAT IRON ALLEY,"[{49475088, 49534597}]"
HAFER STREET,"[{49500875, 49501421, 49528477}]"
BRIDAL PATH,"[{37682281, 37785293, 37700159}]"
GREENLARK ROAD,"[{37566348, 37566350}]"
LONG GREEN PIKE,"[{37663684, 37626983, 37663815, 37663529, 37663756, 37663696, 37663827, 37663796, 37663830, 37663482, 37663581, 37663518}]"
BEECHDALE AVENUE,"[{49568448, 49543884, 49550517, 37658454, 37658459}]"
COURTLAND AVENUE,"[{2229439619, 37627983, 37627984, 37627987, 890991255, 890991260}]"
CLAYTON AVENUE,"[{37788081, 37817188, 37872649}]"
FORCE ROAD,"[{49456391, 49456392, 926705934, 49456403, 49456405, 49456380}]"
SOUTH BEND ROAD,"[{49463746, 49463783, 49463765, 37583193, 37756350}]"
ASSOCIATED WAY,"[{12388226752, 1350469994, 10602208877, 37367431}]"
HARDEN AVENUE,"[{37832205, 37561399}]"
PINETREE COURT,"[{37654690, 37847740}]"
TYRONE ROAD,"[{37588658, 37764540, 37634527}]"
SHAMROCK AVENUE,"[{49513667, 49541382, 49487402, 49536938, 49536940, 49463213, 49541231, 49541432, 49541437}]"
MAYS CHAPEL ROAD,"[{37869796, 37869831, 37869576, 37822879, 37869611, 37682187, 37869771, 37869583, 37635792, 37645425, 37682194, 37710676, 37758709, 37822742, 1427597279, 37794972, 37667583}]"
OAKLEIGH BEACH ROAD,"[{37562080, 37562067, 3110585718, 37525176, 37562078}]"
SMITHWOOD AVENUE,"[{37622809, 37627050, 37622845, 37622807}]"
AVENAL ROAD,"[{37734665, 37662092, 37605934, 37734678, 37734650}]"
BREEN PLACE,"[{37582584, 37676897, 37799658}]"
WOODBINE AVENUE,"[{37614337, 37614345, 37614350, 37614352, 37614354, 37614356, 37614357, 49462171, 37614363, 49468205, 49495221, 49495224, 49495233, 49495236, 49495240, 49471594, 37614317, 37614319, 3147137779, 37614328, 2136825597}]"
WESTFIELD ROAD,"[{37509856, 37812514, 37715234, 37691239, 37776456, 37710887, 37263211, 37687087, 37812529, 37812531, 37591926, 37812538}]"
OAKINGTON STREET,"[{49515394, 49515391, 49477079}]"
EUSTICE ROAD,"[{37588565, 37588606}]"
KATHLAND AVENUE,"[{49469802, 49548654, 49577423, 49575729, 49467925, 49510136}]"
VILLAGE GATE COURT,"[{37882269, 37904094}]"
ORKNEY COURT,"[{49501914, 49501915}]"
FARWIND DRIVE,"[{37705889, 966497060, 37820301, 37820302}]"
CORNBURY COURT,"[{37753690, 37753668}]"
SOUTH MILTON AVENUE,"[{49568620, 49534092, 49471379, 49483831, 49558679}]"
STARMOUNT LANE,"[{37772123, 37563683, 37563630}]"
KAHLSTON ROAD,"[{37596673, 37596675, 37596702, 37596687}]"
SUNNYCOVE COURT,"[{37826635, 37680268, 2834011630, 2834011627}]"
TROUT RUN ROAD,"[{3046034810, 3046034780}]"
GLEN FALLS PATH,"[{37736969, 37736956}]"
MAIN BROOK COURT,"[{1461734385, 37607191}]"
GERNAND ROAD,"[{49462531, 1395622221}]"
NERAK ROAD,"[{49529438, 49502875, 49502870}]"
SIHLER OAKS TRAIL,"[{37774104, 37774131, 37710868, 37774126}]"
CAMERON ROAD,"[{49560200, 49527367}]"
HICKORY DRIVE,"[{37531339, 37694983, 5538245836, 37515887}]"
GRIFFIN WAY,"[{1055496745, 1055497257, 1055496811, 1055497069, 1055497294, 1055497263, 1055497200, 1055496753, 1055496978, 1055497136, 1055497237, 37651961, 37651963}]"
LEADBURN COURT,"[{37891529, 37616935}]"
TUFTS ROAD,"[{37706818, 37815950}]"
SEAMUS COURT,"[{37603400, 37914614}]"
VILLAGE OF PINE COURT,"[{37566408, 37566423}]"
JEFFERS CIRCLE,"[{37655320, 37655344}]"
NORTH GORMAN AVENUE,"[{1400577323, 49499391, 49478095}]"
GREENHOUSE CIRCLE,"[{37592886, 37592865, 37592883, 37590278}]"
PHILBAR COURT,"[{37590573, 37590574}]"
WOODMOOR ROAD,"[{37726384, 37616575}]"
WEST PARK DRIVE,"[{37750240, 37750264, 37750260, 37635695}]"
DAWN DAY COURT,"[{37565962, 37798717}]"
HALITE DRIVE,"[{3185005113, 3185005101, 3185005093}]"
EAST MONUMENT STREET,"[{49475074, 49475206, 49475211, 49475084, 49475086, 49475088, 49475090, 49475219, 895744916, 49512594, 49475094, 49475098, 49475100, 49475112, 49475113, 49475117, 49475119, 49475121, 49475122, 49475124, 49475126, 49391415, 49475130, 49475134, 49475007, 49475136, 49459393, 1291304257, 49469695, 874541380, 874541381, 49460037, 49475143, 49475139, 49475145, 49475147, 49475149, 49475152, 49475154, 49475156, 49475158, 49513047, 49475160, 49475162, 49475164, 49475166, 49475168, 49433825, 2308983778, 49475170, 49475172, 49475174, 49475177, 49475179, 49475057, 49475185, 49475060, 49475189, 49475066, 49475198, 49475071}]"
WESTSIDE BOULEVARD,"[{37658944, 37666977, 37568709, 37814141, 37590399}]"
FALCONWOOD STREET,"[{7859111842, 919036357, 7859111850, 5096166575, 5096166928, 5096166582}]"
STILLWOOD CIRCLE,"[{37620036, 37807918, 37710736, 37845745, 37807935}]"
WOODBERRY PLACE,"[{37685274, 37685276}]"
MANNING AVENUE,"[{37636098, 37636099, 37624500}]"
QUAIL COVEY COURT,"[{37626354, 37468070}]"
BROOKFIELD AVENUE,"[{49487206, 49530796, 49509838, 49479290, 49478422, 49499609, 49479386, 49530814}]"
GRAY MANOR COURT,"[{37718724, 37718716}]"
FARM ROAD,"[{37327601, 37916321, 986232469}]"
MARTELL AVENUE,"[{37621416, 37308203, 37633772, 37633773, 37633774, 37683127, 37633785, 37621373}]"
SANZO ROAD,"[{37880260, 37678931, 37752715}]"
GRAYSON STREET,"[{1399397705, 49461689, 49461685, 49461686}]"
STIRRUP COURT,"[{37626721, 37620422}]"
BARRY PAUL ROAD,"[{37898241, 393530143}]"
BLOSSOM STREET,"[{49497200, 49497199}]"
HUTTON PLACE,"[{37832635, 1444922943}]"
ELMHURST ROAD,"[{5266557668, 49563141, 5266557669, 49541038, 49524401, 49524533, 49463478, 2329793367, 49563129, 49483706}]"
CHARLES STREET,"[{37704705, 37623041, 5264528259, 37623043, 415860489, 37572621, 37572494, 37623055, 37623059, 37572628, 37623061, 37572247, 37572249, 37572252, 5559355164, 37572510, 37572384, 37572259, 5183873956, 4070046501, 5183873955, 7038356395, 37443244, 37572400, 37490995, 37572537, 1323022524, 1323022526, 1784096960, 37030465, 1784096961, 37341892, 37030470, 37341894, 1330253559, 37572438, 37490807, 1808386008, 2037117018, 7985720799, 37436641, 37572578, 37572454, 37572592, 37545463, 37572601}]"
KERRIGAN COURT,"[{37758249, 37634938, 37793251, 37793260}]"
REDCOAT LANE,"[{37660892, 37660821}]"
KAREN DRIVE,"[{37671688, 37671689}]"
ABBEY VIEW WAY,"[{1333100242, 1333100279}]"
BLACK FOREST ROAD,"[{1467622269, 1467622221}]"
BANDON COURT,"[{37600496, 37578737, 37600530}]"
PEDDICOAT COURT,"[{37655456, 37801611, 37035758, 37606709, 37768127}]"
50TH STREET,"[{37919712, 37778949, 37102031, 37870032, 37733948}]"
DOOLITTLE ROAD,"[{37614436, 37607276}]"
CHARLIES WAY,"[{11366964664, 11367012271}]"
GREEN VALLEY LANE,"[{37777888, 37861868, 1447301246}]"
ADAMS AVENUE,"[{8444895128, 8095299475, 1494986446, 37608014}]"
TULIP POPLAR COURT,"[{410447306, 410447308}]"
GRANLEIGH COURT,"[{37568067, 37712685}]"
CEDAR FARM DRIVE,"[{365791081, 5969019594, 365791084, 365791086, 365790990, 365790992, 365791062, 365791100}]"
SWEETGUM COURT,"[{37630326, 37407494}]"
BELVIEU AVENUE,"[{49560385, 1409275137, 49488804, 49488809, 49488844, 49506029, 49454574, 49469774, 49488814, 49471697, 49452242, 49488819, 49454580, 49488816, 49460926}]"
HOLLY LANE,"[{37636833, 37771745, 37794947, 37804682, 37804696, 37804685, 37804686, 37804697, 37691960, 37751545}]"
WILLINGTON COURT,"[{37610568, 37665738}]"
SAWMILL BRANCH ROAD,"[{37762624, 37762625, 37580578, 37762630, 764347178}]"
JEFFERSON ROAD,"[{37647329, 952675865}]"
MAURLEEN ROAD,"[{37907756, 37804428, 37763116, 37734150}]"
APPLE STREET,"[{37740378, 37791522}]"
BRANSTON ROAD,"[{37562139, 37562165}]"
TIONESTA ROAD,"[{37259057, 37592817}]"
WATER OAK ROAD,"[{37693505, 37693510, 37693511, 37580470, 37633370}]"
LEVERTON AVENUE,"[{49456147, 49429387, 49429388, 49506605}]"
HOMEWOOD AVENUE,"[{49468548, 49528206, 49528208, 49538598, 49503790, 49513135, 49488701, 49456958, 49541183, 49541185, 49513158, 49501772, 49541208, 49541210, 49434205, 49514976, 49541220, 49516006, 49494761, 49514351, 49392370, 49526648}]"
HUNTMASTER WAY,"[{37751272, 37733402}]"
PALAMON DRIVE,"[{37667843, 37667812, 37667813, 37667879, 37667849, 1253344747, 37667820, 37667822, 37667855, 37667824, 1253344756, 37667867, 1253344733}]"
TANYA GARTH,"[{37562584, 37797787}]"
WAVERLY WAY,"[{49491107, 49533001, 49567401, 49474410, 49556789, 49533018}]"
WOODSMEN COURT,"[{37363689, 37749455}]"
SCOTT ADAM ROAD,"[{37597827, 37597863, 37597802, 37597838, 37580502, 37597849, 37597855}]"
PRETTYBOY GARTH,"[{37417347, 37417316}]"
MIDDLE RIVER ROAD,"[{3643373056, 37602705, 1296233878, 37685026, 37685028, 393519151, 821892148, 37685175, 37685054, 37464643, 37591237, 37685061, 37685068, 829642323, 37644120, 37614681, 829642330, 37685088, 37674849, 829642338, 829642343, 37640683, 829642349, 821882478, 37685103, 393519218, 37685115, 37482622, 37640831}]"
OLNEY ROAD,"[{49459969, 49526014, 49526004, 49526006, 49507326}]"
IRONSTONE COURT,"[{3185005264, 3185005292, 3185005306, 3185005148}]"
ARLONNE DRIVE,"[{37648627, 37616782, 37648623}]"
TRIGHTON COURT,"[{37354761, 37611470}]"
COUNCIL STREET,"[{37659337, 37659330, 37659345}]"
CEREAL STREET,"[{49506841, 49529933}]"
MEDWICK GARTH WEST,[{37771797}]
PERRY ROAD,"[{37596337, 37596331}]"
STAHL ROAD,"[{37613683, 37893180}]"
SUDBURY COURT,"[{37736982, 37736983}]"
BIDEFORD COURT,"[{37874092, 37877837}]"
MCDANIEL AVENUE,"[{37562661, 37562663}]"
VINEYARD HILL ROAD,"[{37641091, 37675907, 37461317, 37361703, 37675912, 37675914, 37675917, 37675919, 37675931, 37675900, 37338141}]"
MAXA COURT,"[{37562609, 37587885, 37587855}]"
KIRBY COURT,"[{37778051, 37778052}]"
SOUTH ABINGTON AVENUE,"[{49510563, 49550243}]"
SOUTH WOODWARD DRIVE,"[{37745410, 37721315, 37758757, 37618475, 37621836, 602430417}]"
HIGAN COURT,"[{37776917, 37664526}]"
SUNSWEPT LANE,"[{37817629, 37748525}]"
WORTHINGTON RIDGE COURT,"[{37281496, 37705511}]"
LANGE STREET,"[{37628825, 37825892, 37608358}]"
TREHERNE ROAD,"[{37602393, 393383930, 37602367}]"
ELAINE AVENUE,"[{37840507, 37671374}]"
WALDEN MAPLE COURT,"[{37760164, 37760165}]"
NORTH DUNDALK AVENUE,"[{49408773, 37794829, 37773966, 37591567, 37773967, 37591569, 37863182, 37863194, 900133407, 37776041, 37298223, 37863217, 37742270, 37742275, 1390271686, 37881671, 37734620, 1390286694, 37775983, 37775985}]"
BLUE HERON COURT,"[{966343296, 966343332}]"
MOUNT VERNON AVENUE,"[{37579307, 7033007772, 37780213, 37823438}]"
HILL SPRING DRIVE,"[{37682180, 1427597417, 37821234, 37567091, 37434068, 37743187}]"
LAKESHIRE COURT,"[{37634013, 37634005}]"
CHARINGTON ROAD,"[{37826041, 37813380, 37755917}]"
BROOKRIDGE COURT,"[{37638538, 37638542}]"
TAMMY COURT,"[{37804392, 37804393}]"
TIMBERLINE COURT,"[{37881368, 37780022}]"
INGHAM ROAD,"[{2123302974, 37712184, 37712200, 37684038}]"
BACKSTAGE COURT,"[{37648649, 37648646}]"
CEDARMERE CIRCLE,"[{37582264, 37621257, 37621209, 37582279}]"
CLOVERDALE ROAD,"[{1515965839, 49379075, 49503428, 49538391}]"
GLYNLEE COURT,"[{37623129, 37861891, 37861893, 37795023}]"
PLAINVIEW ROAD,"[{37936058, 1373391412, 1373391421}]"
UPMANOR ROAD,"[{49479977, 49461986, 49475806}]"
LAKE MONTEBELLO DRIVE,"[{49479681, 49479684, 49546053, 49468812, 49476084, 49479674}]"
OLD FORGE COURT,"[{37911531, 37910340}]"
MCCOMAS AVENUE,"[{37643338, 37643342, 37643345, 37643323, 37643324}]"
